instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
50952196,199032,KTKSENSINAV,INAV KOTAK SENSEX ETF,0,,0,0.01,1,EQ,BSE,BSE
50952452,199033,SBISENSINAV,INAV- SBI ETF SENS,0,,0,0.01,1,EQ,BSE,BSE
50952708,199034,MOM100INAV,INAV - MOTILAL OSWAL MOST S,0,,0,0.01,1,EQ,BSE,BSE
50952964,199035,ICICINIINAV,INAV ICICIPRUDENTIAL NIFTY,0,,0,0.01,1,EQ,BSE,BSE
50953220,199036,ICICINFINAV,INAV ICICI PRUDENTIALNIFT,0,,0,0.01,1,EQ,BSE,BSE
50953476,199037,NIF100BINAV,INAV NIPPON INDIA ETF NIFTY,0,,0,0.01,1,EQ,BSE,BSE
50953732,199038,KOTAKNIINAV,INAV - KOTAK NIFTY ETF,0,,0,0.01,1,EQ,BSE,BSE
50953988,199039,CPSEETFINAV,INAV- CPSE ETF,0,,0,0.01,1,EQ,BSE,BSE
50954244,199040,SENSEXBINAV,INAV NIPPO INDIA ETF SENSE,0,,0,0.01,1,EQ,BSE,BSE
50954500,199041,SETFBSEINAV,INAV - SBI ETF BSE 100,0,,0,0.01,1,EQ,BSE,BSE
50954756,199042,UTISENSINAV,INAV UTI- SENSEX ETF,0,,0,0.01,1,EQ,BSE,BSE
50955012,199043,UTINIFTINAV,INAV UTI NIFTY ETF,0,,0,0.01,1,EQ,BSE,BSE
50955268,199044,LICE50INAV,INAV -LIC MF ETF NIFTY 50,0,,0,0.01,1,EQ,BSE,BSE
50955524,199045,LICETFINAV,INAV -LIC MF ETF- SENSEX,0,,0,0.01,1,EQ,BSE,BSE
50955780,199046,HDNIFINAV,INAV HDFC NIFTY ETF,0,,0,0.01,1,EQ,BSE,BSE
50956036,199047,SXETFINAV,INAV HDFC SENSEX ETF - OPEN,0,,0,0.01,1,EQ,BSE,BSE
50956292,199048,LICFNHINAV,INAV -LIC MF ETF NIFTY 100,0,,0,0.01,1,EQ,BSE,BSE
50956548,199049,ICICINVINAV,INAV ICICI PRUDENTIAL NV20,0,,0,0.01,1,EQ,BSE,BSE
50956804,199050,ICICIMCINAV,INAV ICICI PRUDNTIAL MIDCA,0,,0,0.01,1,EQ,BSE,BSE
50957060,199051,BSLSENEINAV,INAV BIRLA SUN LIFE SENSEX,0,,0,0.01,1,EQ,BSE,BSE
50957316,199052,IDFSENSINAV,INAV IDFC SENSEX ETF,0,,0,0.01,1,EQ,BSE,BSE
50957572,199053,ICICILOINAV,INAV ICICI PRUDENTIL NIFTY,0,,0,0.01,1,EQ,BSE,BSE
50957828,199054,UTINEXTINAV,INAV UTI NIFTY NEXT 50 ETF,0,,0,0.01,1,EQ,BSE,BSE
50958084,199055,ICICIB2INAV,INAV BHARAT 22 ETF,0,,0,0.01,1,EQ,BSE,BSE
50958596,199057,ICICI50INAV,INAV ICICI PRUDENTIAL S&P B,0,,0,0.01,1,EQ,BSE,BSE
50958852,199058,ICICINXINAV,INAV ICICIPRUDENTIALNIFTY,0,,0,0.01,1,EQ,BSE,BSE
50959364,199060,SETFSN5INAV,INAV SBI - ETF - SENSEX NEX,0,,0,0.01,1,EQ,BSE,BSE
50959620,199061,MAN50ETINAV,INAV MIRAE ASSET NIFTY 50 E,0,,0,0.01,1,EQ,BSE,BSE
50959876,199062,ABSLNN5INAV,INAV ADITYA BIRLASUN LIFE,0,,0,0.01,1,EQ,BSE,BSE
50960132,199063,UTISXN5INAV,INAV UTI S&P BSE SENSEX NEX,0,,0,0.01,1,EQ,BSE,BSE
50960388,199064,ICICIPBINAV,INAV ICICI PRUDENTIAL BANK,0,,0,0.01,1,EQ,BSE,BSE
50960644,199065,SNXT50BINAV,INAV NIPPON INDIA ETF SENSE,0,,0,0.01,1,EQ,BSE,BSE
50960900,199066,ICICIBAINAV,INAV ICICI PRUDENTIAL PRIVA,0,,0,0.01,1,EQ,BSE,BSE
50961156,199067,ABSLBANINAV,INAV ADITYA BIRLA SUN LIFE,0,,0,0.01,1,EQ,BSE,BSE
50961924,199070,ICICIM1INAV,INAV ICICI PRUDENTIAL MIDCA,0,,0,0.01,1,EQ,BSE,BSE
50962180,199071,MANXT50INAV,INAV MIRAE ASSET NIFTY NEXT,0,,0,0.01,1,EQ,BSE,BSE
50962948,199074,ICICIALINAV,INAV ICICI PRUDENTIAL ALPH,0,,0,0.01,1,EQ,BSE,BSE
50963204,199075,ICICITEINAV,INAV ICICI PRUDENTIAL IT ET,0,,0,0.01,1,EQ,BSE,BSE
50963460,199076,HBANKETINAV,INAV HDFC BANKING ETF,0,,0,0.01,1,EQ,BSE,BSE
50963716,199077,UTIBANKINAV,INAV UTI BANK EXCHANGE TRAD,0,,0,0.01,1,EQ,BSE,BSE
50963972,199078,MAESGETINAV,INAV MIRAE ASSET ESG SECTOR,0,,0,0.01,1,EQ,BSE,BSE
50964484,199080,INFRABEINAV,INAV NIPPON INDIA ETF INFR,0,,0,0.01,1,EQ,BSE,BSE
50964740,199081,MAFANGINAV,INAV MIRAE ASSET NYSE FANG+,0,,0,0.01,1,EQ,BSE,BSE
50964996,199082,ICICIPHINAV,INAV ICICI PRUDENTIAL HEALT,0,,0,0.01,1,EQ,BSE,BSE
50965252,199083,MAFSETFINAV,INAV MIRAE ASSET NIFTY FINA,0,,0,0.01,1,EQ,BSE,BSE
50965508,199084,ICICIFMINAV,INAV ICICI PRUDENTIAL FMCG,0,,0,0.01,1,EQ,BSE,BSE
50965764,199085,AXISTECINAV,INAV AXIS TECHNOLOGY ETF,0,,0,0.01,1,EQ,BSE,BSE
50966020,199086,AXISHETINAV,INAV AXIS HEALTHCARE ETF,0,,0,0.01,1,EQ,BSE,BSE
50966276,199087,AXISCETINAV,INAV AXIS CONSUMPTION ETF,0,,0,0.01,1,EQ,BSE,BSE
50966532,199088,MASPTOPINAV,INAV MIRAE ASSET S&P 500 TO,0,,0,0.01,1,EQ,BSE,BSE
50966788,199089,ICICICOINAV,INAV ICICI PRUDENTIAL CONSU,0,,0,0.01,1,EQ,BSE,BSE
50967044,199090,DSPNEWEINAV,INAV DSP NIFTY 50 EQUAL WEI,0,,0,0.01,1,EQ,BSE,BSE
50967300,199091,MAHKTECINAV,INAV MIRAE ASSET HANG SENG,0,,0,0.01,1,EQ,BSE,BSE
50967812,199093,MONQ50INAV,INAV MOTILAL OSWAL NASDAQ Q,0,,0,0.01,1,EQ,BSE,BSE
50968068,199094,DSPQ50EINAV,INAV DSP NIFTY MIDCAP 150 Q,0,,0,0.01,1,EQ,BSE,BSE
50968324,199095,DSPN50INAV,INAV DSP NIFTY 50 ETF,0,,0,0.01,1,EQ,BSE,BSE
50968580,199096,ICICIAUINAV,INAVICICI PRUDENTIALNIFTY,0,,0,0.01,1,EQ,BSE,BSE
50968836,199097,MAMFGETINAV,INAV MIRAE ASSET NIFTY INDI,0,,0,0.01,1,EQ,BSE,BSE
50969092,199098,MOMOMENINAV,INAV MOTILAL OSWAL NIFTY 20,0,,0,0.01,1,EQ,BSE,BSE
50969348,199099,TECHINAV,INAV ADITYA BIRLA SUNLIFE N,0,,0,0.01,1,EQ,BSE,BSE
50969604,199100,HEALTHYINAV,INAV ADITYA BIRLA SUNLIFE,0,,0,0.01,1,EQ,BSE,BSE
50969860,199101,BSLNIFTINAV,INAV ADITYABIRLA SUN LIFE,0,,0,0.01,1,EQ,BSE,BSE
50970372,199103,MAM150EINAV,INAV MIRAE ASSET NIFTY MIDC,0,,0,0.01,1,EQ,BSE,BSE
50970628,199104,MOLOWVOINAV,INAV MOTILAL OSWAL S&P BSE,0,,0,0.01,1,EQ,BSE,BSE
50970884,199105,ICICSENNAV,INAV ICICI PRUDENTIAL SENSE,0,,0,0.01,1,EQ,BSE,BSE
50971396,199107,NIFTYBEINAV,INAV NIPPONINDIA ETF NIFTY,0,,0,0.01,1,EQ,BSE,BSE
50971652,199108,JUNIORBINAV,INAV NIPPON INDIA ETF JUNIO,0,,0,0.01,1,EQ,BSE,BSE
50971908,199109,BANKBEEINAV,INAV NIPPON INDIA ETF BANK,0,,0,0.01,1,EQ,BSE,BSE
50972164,199110,KOTAKPSINAV,INAV KOTAK PSU BK ETF,0,,0,0.01,1,EQ,BSE,BSE
50972420,199111,PSUBNKBINAV,INAV NIPPON INDIA ETF PSU B,0,,0,0.01,1,EQ,BSE,BSE
50972676,199112,SHARIABINAV,INAV NIPPON INDIA ETF SHARI,0,,0,0.01,1,EQ,BSE,BSE
50972932,199113,QNIFTYINAV,INAV QUANTUM INDX ETF,0,,0,0.01,1,EQ,BSE,BSE
50973188,199114,MOM50INAV,INAV MOTILAL OSWAL M50 ETF,0,,0,0.01,1,EQ,BSE,BSE
50973444,199115,KOTAKBKINAV,INAV KOTAK BANKING ETF - DI,0,,0,0.01,1,EQ,BSE,BSE
50973700,199116,SETFNIFINAV,INAV SBI-ETF NIFTY BANK,0,,0,0.01,1,EQ,BSE,BSE
50973956,199117,SETFN50INAV,INAV SBI-ETF NIFTY 50,0,,0,0.01,1,EQ,BSE,BSE
50974212,199118,MOHEALTINAV,INAVMOTILALOSWS&PBSEHEALTHCETF,0,,0,0.01,1,EQ,BSE,BSE
50974468,199119,ICMOM30INAV,INAVICICIPRUNI200MOMETF,0,,0,0.01,1,EQ,BSE,BSE
50974724,199120,HDFF100INAV,INAVHDFC NIFTY 100 ETF,0,,0,0.01,1,EQ,BSE,BSE
50974980,199121,HDFNX50INAV,INAV HDFC NIFTY NEXT 50 ETF,0,,0,0.01,1,EQ,BSE,BSE
50975236,199122,ICICINFNAV,INAV ICICI PRU NIFTY INFRA ETF,0,,0,0.01,1,EQ,BSE,BSE
50975748,199124,NIFQTYINAV,INAV ABSL NIFTY 200 QTY 30 ETF,0,,0,0.01,1,EQ,BSE,BSE
50976004,199125,MOM30INAV,INAV ABSL NIFTY 200 MOM 30 ETF,0,,0,0.01,1,EQ,BSE,BSE
50976260,199126,MOQUALTINAV,INAV MO S&P BSE QUALITY ETF,0,,0,0.01,1,EQ,BSE,BSE
50976516,199127,MOVALUEINAV,INAV MO S&P BSE EN VALUE ETF,0,,0,0.01,1,EQ,BSE,BSE
50977028,199129,HDFQUALINAV,INAVHDFCQUALETF,0,,0,0.01,1,EQ,BSE,BSE
50977284,199130,HDFGROWINAV,INAVHDFCGROWETF,0,,0,0.01,1,EQ,BSE,BSE
50977540,199131,HDFVALUINAV,INAV HDFCVALUEETF,0,,0,0.01,1,EQ,BSE,BSE
50977796,199132,HDFMOMEINAV,INAVHDFCMOMENT,0,,0,0.01,1,EQ,BSE,BSE
50978052,199133,HDFCLOLINAV,INAVHDFCLOWVOL,0,,0,0.01,1,EQ,BSE,BSE
50978308,199134,HDFCBANINAV,INAVHDFCPVTBAN,0,,0,0.01,1,EQ,BSE,BSE
50978564,199135,HDFCNITINAV,INAVHDFCNIFIT,0,,0,0.01,1,EQ,BSE,BSE
50978820,199136,ICICINAV,INAVICICI PRUDENTIAL MUTUAL,0,,0,0.01,1,EQ,BSE,BSE
50979588,199139,ICIC02INAV,INAVICICI PRUDENTIAL MUTUAL 02,0,,0,0.01,1,EQ,BSE,BSE
50979844,199140,DSPBINAV,INAVDSP MUTUAL FUND,0,,0,0.01,1,EQ,BSE,BSE
50980100,199141,HDFCINAV,INAVHDFC MUTUAL FUND,0,,0,0.01,1,EQ,BSE,BSE
50980356,199142,HDFC01INAV,INAVHDFC MUTUAL FUND01,0,,0,0.01,1,EQ,BSE,BSE
50980612,199143,HDFC02INAV,INAVHDFC MUTUAL FUND02,0,,0,0.01,1,EQ,BSE,BSE
50981124,199145,PSUBINAV,INAVICICI PRUDENTIAL MUTUAL,0,,0,0.01,1,EQ,BSE,BSE
50981636,199147,AXISINAV,INAVAXIS MUTUAL FUND,0,,0,0.01,1,EQ,BSE,BSE
50981892,199148,MANVINAV,INAVMIRAE ASSET MUTUAL FUND,0,,0,0.01,1,EQ,BSE,BSE
50983172,199153,DSPIINAV,INAVDSP MUTUAL FUND,0,,0,0.01,1,EQ,BSE,BSE
50983428,199154,BANKINAV,INAVMIRAE ASSET MUTUAL FUND,0,,0,0.01,1,EQ,BSE,BSE
50983940,199156,DSPPINAV,INAVDSP MUTUAL FUND,0,,0,0.01,1,EQ,BSE,BSE
50984196,199157,DSPSINAV,INAVDSP MUTUAL FUND,0,,0,0.01,1,EQ,BSE,BSE
50984452,199158,DSPP01INAV,INAVDSP MUTUAL FUND01,0,,0,0.01,1,EQ,BSE,BSE
50984708,199159,ICIC03INAV,INAVICICI PRUDENTIAL MUTUAL 03,0,,0,0.01,1,EQ,BSE,BSE
50985220,199161,NIFMINAV,INAVUTI MUTUAL FUND,0,,0,0.01,1,EQ,BSE,BSE
50985476,199162,NAVIINAV,INAVNAVI MUTUAL FUND,0,,0,0.01,1,EQ,BSE,BSE
50985732,199163,SENSINAV,INAVMIRAE ASSET MUTUAL FUND,0,,0,0.01,1,EQ,BSE,BSE
50985988,199164,ALPHINAV,INAVMIRAE ASSET MUTUAL FUND,0,,0,0.01,1,EQ,BSE,BSE
50986244,199165,ITETINAV,INAVMIRAE ASSET MUTUAL FUND,0,,0,0.01,1,EQ,BSE,BSE
50987268,199169,BANK01INAV,INAVBAJAJ FINSERV MUTUAL FUN01,0,,0,0.01,1,EQ,BSE,BSE
50987524,199170,NIFTINAV,INAVBAJAJ FINSERV MUTUAL FUN,0,,0,0.01,1,EQ,BSE,BSE
50987780,199171,NIFIINAV,INAVUTI MUTUAL FUND,0,,0,0.01,1,EQ,BSE,BSE
50988548,199174,HEALINAV,INAVDSP MUTUAL FUND,0,,0,0.01,1,EQ,BSE,BSE
50988804,199175,HDFC04INAV,INAVHDFC MUTUAL FUND04,0,,0,0.01,1,EQ,BSE,BSE
50989060,199176,LICNINAV,INAVLIC MUTUAL FUND,0,,0,0.01,1,EQ,BSE,BSE
50989316,199177,SMALINAV,INAVMIRAE ASSET MUTUAL FUND,0,,0,0.01,1,EQ,BSE,BSE
50990084,199180,MIDSINAV,INAVMIRAE ASSET MUTUAL FUND,0,,0,0.01,1,EQ,BSE,BSE
50990596,199182,TOP1INAV,INAVZERODHA MUTUAL FUND,0,,0,0.01,1,EQ,BSE,BSE
50990852,199183,MID1INAV,INAVZERODHA MUTUAL FUND,0,,0,0.01,1,EQ,BSE,BSE
50991108,199184,BBNP01INAV,INAVBARODA BNP PARIBAS MUTUA01,0,,0,0.01,1,EQ,BSE,BSE
128000516,500002,ABB,ABB INDIA,0,,0,0.05,1,EQ,BSE,BSE
128000772,500003,AEGISLOG,AEGIS LOGISTICS,0,,0,0.05,1,EQ,BSE,BSE
128002052,500008,ARE&M,AMARA RAJA ENERGY & MOBILITY L,0,,0,0.05,1,EQ,BSE,BSE
128002308,500009,AMBALALSA,AMBALAL SARABHAI ENTERPRISES L,0,,0,0.01,1,EQ,BSE,BSE
128003076,500012,ANDHRAPET,ANDHRA PETROCHEMICALS,0,,0,0.05,1,EQ,BSE,BSE
128003588,500014,UTIQUE,UTIQUE ENTERPRISES,0,,0,0.01,1,EQ,BSE,BSE
128004100,500016,ARUNAHTEL,ARUNA HOTELS,0,,0,0.01,1,EQ,BSE,BSE
128005124,500020,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,0,,0,0.05,1,EQ,BSE,BSE
128006916,500027,ATUL,ATUL,0,,0,0.05,1,EQ,BSE,BSE
128007172,500028,ATVPR,ATV PROJECTS INDIA,0,,0,0.01,1,EQ,BSE,BSE
128007940,500031,BAJAJELEC,BAJAJ ELECTRICALS,0,,0,0.05,1,EQ,BSE,BSE
128008196,500032,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR,0,,0,0.01,1,EQ,BSE,BSE
128008452,500033,FORCEMOT,FORCE MOTORS,0,,0,0.05,1,EQ,BSE,BSE
128008708,500034,BAJFINANCE,BAJAJ FINANCE,0,,0,0.05,1,EQ,BSE,BSE
128009732,500038,BALRAMCHIN,BALRAMPUR CHINI MILLS,0,,0,0.05,1,EQ,BSE,BSE
128009988,500039,BANCOINDIA,BANCO PRODUCTS (INDIA),0,,0,0.05,1,EQ,BSE,BSE
128010244,500040,CENTURYTEX,CENTURY TEXTILES & INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
